date,spectral_radius,spectral_gap,mean_correlation,modularity,avg_clustering,avg_degree,regime,sr_exceed_q90,mc_red,mod_breakdown,any_warning
2025-09-26,58.53381877064737,50.0481104368248,0.44757153222806056,0.02676848941221036,0.7283579620267128,41.515151515151516,unknown,False,False,False,False
2025-09-30,58.52723847212938,49.580773898411806,0.44908376017215307,0.027712805848706137,0.7296086695673291,41.494949494949495,unknown,False,False,False,False
2025-10-01,58.52457320257707,49.509970549306715,0.44932160696064116,0.027745978524768244,0.732064955476467,41.474747474747474,unknown,False,False,False,False
2025-10-02,58.51717702164392,49.4768666749712,0.4492962403532757,0.02777063952583097,0.7357117686143899,41.43434343434343,unknown,False,False,False,False
2025-10-03,58.49569209459989,49.5157446499362,0.4487729121981546,0.024997612186163205,0.742938796564801,41.39393939393939,unknown,False,False,False,False
2025-10-07,58.486903883512625,49.49237824673206,0.44884730734933215,0.02681927760678986,0.7455268303021194,41.43434343434343,unknown,False,False,False,False
2025-10-08,58.42483682611076,49.46695265061315,0.4478980208729631,0.019940827241010848,0.7324958179210475,41.292929292929294,unknown,False,False,False,False
2025-10-09,58.40951224821441,49.56022945355856,0.44730994948220026,0.02050046645646603,0.7012416548382983,41.15151515151515,unknown,False,False,False,False
2025-10-13,58.41045073880689,49.671907116133454,0.4468797195390604,0.022349003791683586,0.7073139437303844,40.94949494949495,unknown,False,False,False,False
2025-10-14,55.01556609373853,45.212480471566195,0.42178594057960617,0.03735980674041529,0.6928540653301981,38.282828282828284,unknown,False,False,False,False
2025-10-15,25.78309505702984,12.574134870991585,0.24867400902545073,0.2976416126588671,0.4649842390744362,11.01010101010101,unknown,False,False,False,False
2025-10-16,25.871070840944867,12.641102917797745,0.2494059276875804,0.30257530665127186,0.4677932336767022,11.090909090909092,unknown,False,False,False,False
2025-10-17,25.90496888138528,12.635741410145833,0.250221185100371,0.30551307526121046,0.4639905346628286,10.848484848484848,unknown,False,False,False,False
2025-10-20,25.756913474606414,12.667665434028493,0.24855322803186117,0.3069367962521575,0.47000160941270774,10.686868686868687,unknown,False,False,False,False
2025-10-21,25.72893551257871,12.56472891106258,0.2485989805171483,0.3060827188342004,0.4775151682452754,10.565656565656566,unknown,False,False,False,False
2025-10-22,25.620638364435557,12.483860367052834,0.24746591556975767,0.3043736961451248,0.4630492445816447,10.606060606060606,unknown,False,False,False,False
2025-10-23,25.66249056097012,12.51063688262295,0.24796822988423858,0.31246493544548515,0.4624543589316097,10.686868686868687,unknown,False,False,False,False
2025-10-27,25.680438143424837,12.525713648094627,0.2481019166257552,0.3055129600316581,0.462314106355593,10.747474747474747,unknown,False,False,False,False
2025-10-28,25.88510981943689,12.71164577753299,0.2501792627604089,0.27452739668378084,0.4921442348851261,11.01010101010101,unknown,False,False,False,False
2025-10-29,25.655350955462787,12.642850026627773,0.2478151430415134,0.27787283344811753,0.4614805036408628,10.666666666666666,unknown,False,False,False,False
2025-10-30,25.702714005003912,12.562821497056198,0.24836701475856288,0.2733819014003673,0.4731171445470167,10.666666666666666,unknown,False,False,False,False
2025-10-31,25.69186197852403,12.54600464895995,0.2483600643893399,0.28186543253826984,0.46746507243331015,10.707070707070708,unknown,False,False,False,False
2025-11-03,25.51243116367027,12.412264356036445,0.24623346751203196,0.30433286230406154,0.49123049513313566,10.585858585858587,unknown,False,False,False,False
2025-11-04,25.341763067368746,12.334395853562683,0.24450884223841898,0.3146564201929127,0.48377809430537644,10.282828282828282,unknown,False,False,False,False
