N,trial,sum_abs_f,max_abs_f,n_active,mean_f,lam
150,23,44.02175662683959,1.316134256707982,147,0.040738973611794294,0.2166775167305993
150,24,42.933670438146024,1.3075634045115836,143,0.040776762401906884,0.2204402237745669
150,25,44.79105605117046,1.3165848392321442,145,0.041475991370690427,0.2149132109404379
150,26,42.4896774095464,1.312403842193751,147,0.04049780903191934,0.21625837354792202
150,27,44.92865577507084,1.1670706204363919,147,0.033120056388956265,0.221328289107296
150,28,40.05914691169758,1.10688175531855,148,0.03632911962601062,0.22219073610187412
150,29,43.30951355964781,1.2664901348561417,144,0.041681355146231724,0.21894982599632914
200,0,56.400262735123825,1.3278630649252867,196,0.030687511673234944,0.219220329049094
200,1,56.40026273512382,1.327863064925287,196,0.03068751167323494,0.219220329049094
200,2,56.40026273512382,1.3278630649252865,196,0.030687511673234944,0.219220329049094
200,3,56.40026273512382,1.3278630649252863,196,0.03068751167323494,0.219220329049094
200,4,56.40026273512382,1.3278630649252872,196,0.030687511673234955,0.219220329049094
200,5,56.400262735123825,1.327863064925286,196,0.030687511673234948,0.219220329049094
200,6,56.400262735123825,1.3278630649252865,196,0.030687511673234944,0.219220329049094
200,7,56.400262735123825,1.3278630649252867,196,0.030687511673234948,0.219220329049094
200,8,56.40026273512383,1.3278630649252858,196,0.03068751167323496,0.219220329049094
200,9,56.40026273512382,1.3278630649252858,196,0.030687511673234948,0.219220329049094
200,10,56.40026273512382,1.3278630649252858,196,0.030687511673234955,0.219220329049094
200,11,56.40026273512382,1.3278630649252858,196,0.030687511673234944,0.219220329049094
200,12,56.40026273512382,1.3278630649252867,196,0.030687511673234944,0.219220329049094
200,13,56.40026273512382,1.3278630649252872,196,0.030687511673234958,0.219220329049094
200,14,56.40026273512382,1.3278630649252872,196,0.030687511673234955,0.219220329049094
200,15,56.40026273512382,1.3278630649252872,196,0.030687511673234958,0.219220329049094
200,16,56.40026273512382,1.3278630649252863,196,0.030687511673234955,0.219220329049094
200,17,56.400262735123825,1.3278630649252867,196,0.030687511673234944,0.219220329049094
200,18,56.400262735123825,1.3278630649252865,196,0.030687511673234958,0.219220329049094
200,19,56.40026273512382,1.3278630649252863,196,0.03068751167323496,0.219220329049094
200,20,56.40026273512382,1.3278630649252858,196,0.030687511673234955,0.219220329049094
200,21,56.40026273512382,1.3278630649252856,196,0.030687511673234948,0.219220329049094
200,22,56.40026273512382,1.3278630649252863,196,0.030687511673234955,0.219220329049094
200,23,56.40026273512382,1.327863064925286,196,0.030687511673234948,0.219220329049094
200,24,56.40026273512382,1.327863064925286,196,0.030687511673234955,0.219220329049094
200,25,56.40026273512383,1.3278630649252858,196,0.03068751167323496,0.219220329049094
200,26,56.40026273512383,1.327863064925286,196,0.030687511673234948,0.219220329049094
200,27,56.40026273512382,1.3278630649252878,196,0.030687511673234948,0.219220329049094
200,28,56.40026273512383,1.3278630649252865,196,0.030687511673234958,0.21922032904909397
200,29,56.400262735123825,1.3278630649252867,196,0.030687511673234944,0.219220329049094
