date,n_nodes,n_edges,density,n_triangles,n_4cliques,avg_clustering,transitivity,triangles_per_node,panic,pre_panic,normal
2021-06-30,80,528,0.1670886075949367,2189,185,0.5355516167950806,0.5565725908975336,27.3625,0,0,1
2021-07-07,80,591,0.1870253164556962,2801,167,0.5566907345132958,0.5838660366870484,35.0125,0,0,1
2021-07-14,80,589,0.18639240506329113,2757,243,0.5396551325603105,0.5841514231231019,34.4625,0,0,1
2021-07-21,80,561,0.17753164556962026,2436,190,0.5508444165643046,0.5495563242592871,30.45,0,0,1
2021-07-28,80,534,0.1689873417721519,2063,174,0.5553145390126928,0.5232941574363744,25.7875,0,0,1
2021-08-04,80,508,0.16075949367088607,2137,125,0.5597451241111557,0.5568971507991661,26.7125,0,0,1
2021-08-11,80,245,0.07753164556962025,524,63,0.3676453895570112,0.4785388127853881,6.55,0,0,1
2021-08-18,80,103,0.03259493670886076,68,13,0.2495248738834265,0.3100303951367781,0.85,0,0,1
2021-08-25,80,148,0.04683544303797468,170,37,0.3242534687319904,0.38961038961038963,2.125,0,0,1
2021-09-01,80,153,0.04841772151898734,194,25,0.30499827292590453,0.4248175182481752,2.425,0,0,1
2021-09-08,80,179,0.05664556962025316,238,38,0.29457037651890594,0.4148750726321906,2.975,0,0,1
2021-09-15,80,196,0.0620253164556962,220,45,0.33019983950518006,0.3389830508474576,2.75,0,0,1
2021-09-24,80,226,0.07151898734177216,264,43,0.33715372782588254,0.34813186813186814,3.3,0,0,1
2021-10-01,80,259,0.0819620253164557,405,92,0.37523821244446176,0.38571428571428573,5.0625,0,0,1
2021-10-08,80,426,0.13481012658227848,1181,186,0.45144314474035524,0.46198982918242276,14.7625,0,0,1
2021-10-18,80,462,0.14620253164556962,1600,160,0.4835904106072012,0.5183025591188857,20.0,0,0,1
2021-10-25,80,506,0.160126582278481,2148,152,0.492676832101062,0.5699628515832301,26.85,0,0,1
2021-11-01,80,451,0.14272151898734178,1810,145,0.4792758373405164,0.5729056763030175,22.625,0,0,1
2021-11-08,80,445,0.14082278481012658,1672,126,0.4877456919736317,0.5570238756246529,20.9,0,0,1
2021-11-15,80,345,0.10917721518987342,1048,125,0.4372353936050084,0.5354223433242506,13.1,0,0,1
2021-11-22,80,180,0.056962025316455694,210,36,0.30400142620537357,0.37544696066746125,2.625,0,0,1
2021-11-29,80,205,0.06487341772151899,333,59,0.38153907871883874,0.43950725912890454,4.1625,0,0,1
2021-12-06,80,207,0.06550632911392405,345,56,0.36925316645223427,0.4423076923076923,4.3125,0,0,1
2021-12-13,80,163,0.051582278481012656,177,38,0.28099595665772137,0.3726315789473684,2.2125,0,0,1
2021-12-20,80,169,0.05348101265822785,224,36,0.3220986035808017,0.42052565707133915,2.8,0,0,1
2021-12-27,80,125,0.03955696202531646,113,18,0.25392662892662893,0.3808988764044944,1.4125,0,0,1
2022-01-04,80,51,0.016139240506329113,14,1,0.17976190476190476,0.35,0.175,0,0,1
2022-01-11,80,37,0.01170886075949367,6,0,0.14041666666666666,0.33962264150943394,0.075,0,0,1
2022-01-18,80,35,0.011075949367088608,4,0,0.12291666666666667,0.2608695652173913,0.05,0,0,1
2022-01-25,80,44,0.013924050632911392,9,1,0.15553571428571428,0.32142857142857145,0.1125,0,0,1
