expr,ic_mean_is,ic_ir_is,n_days_is,valid_frac_is,abs_ic,abs_ir
"ts_mean(ts_rank(high, 10), 10)",0.004148219026042875,0.02276338268288336,967,1.0,0.004148219026042875,0.02276338268288336
"delta(zscore_xs(amount), 10)",-0.00688418482791028,-0.04523748681497594,965,1.0,0.00688418482791028,0.04523748681497594
"ts_std(log(low), 10)",0.009016288557577126,0.04177814217041255,971,1.0,0.009016288557577126,0.04177814217041255
"ts_rank(ts_mean(low, 5), 20)",-0.013855328808995713,-0.07498014766857038,963,0.9979274611398964,0.013855328808995713,0.07498014766857038
"delta(ts_mean(open, 20), 10)",-0.010597161380231548,-0.05673673967602952,956,1.0,0.010597161380231548,0.05673673967602952
"ts_mean(ts_std(ret, 20), 20)",0.010901844398023894,0.04106592200461873,957,1.0,0.010901844398023894,0.04106592200461873
"ts_std(log(close), 5)",0.013591935504410495,0.06498790595965362,974,1.0,0.013591935504410495,0.06498790595965362
"ts_std(ts_std(amount, 5), 10)",-0.00992731888406049,-0.06034860175953284,970,1.0,0.00992731888406049,0.06034860175953284
"ts_std(volume, 20)",-0.002987109504159951,-0.017340235452615232,966,1.0,0.002987109504159951,0.017340235452615232
"zscore_xs(delta(volume, 10))",-0.000549046314583316,-0.003748290450507015,965,1.0,0.000549046314583316,0.003748290450507015
"delta(ts_rank(open, 20), 1)",-0.010670033464650699,-0.07278846228429858,965,1.0,0.010670033464650699,0.07278846228429858
"ts_rank(ts_mean(open, 5), 20)",-0.012853501104384461,-0.07055830324527931,963,0.9979274611398964,0.012853501104384461,0.07055830324527931
"log(ts_mean(volume, 5))",0.0021203842627501254,0.012227434691399487,974,1.0,0.0021203842627501254,0.012227434691399487
"log(ts_std(open, 20))",0.0011971685458171306,0.005217845320694664,966,1.0,0.0011971685458171306,0.005217845320694664
"ts_std(delta(open, 5), 10)",0.000655188743735195,0.002872365552523013,966,1.0,0.000655188743735195,0.002872365552523013
"delta(ts_std(amount, 5), 1)",0.001864616775873176,0.015036126879275453,973,1.0,0.001864616775873176,0.015036126879275453
log(zscore_xs(amount)),0.00011630373755989247,0.0005613635141111212,902,1.0,0.00011630373755989247,0.0005613635141111212
"ts_std(ts_std(close, 10), 5)",0.0025903506939742083,0.012076319238041524,970,1.0,0.0025903506939742083,0.012076319238041524
"ts_mean(ts_rank(open, 10), 5)",-0.0017015667538297578,-0.00965478519851593,970,1.0,0.0017015667538297578,0.00965478519851593
